ISBN,Price,"US Rank","US Profit","CA Rank","CA Profit","UK Rank","UK Profit","DE Rank","DE Profit","FR Rank","FR Profit","IT Rank","IT Profit","ES Rank","ES Profit","MX Rank","MX Profit","IN Rank","IN Profit","JP Rank","JP Profit"
9781614488323,"$2.00 ","85,055",-5.55,"242,081",13.76,"127,942",3.22,"125,989",7,"85,243",6.95,"105,910",6.61,"46,964",6.61,"99,516",-6.95,0,-6.94,"47,163",-6.95
9780029001516,"$1.50 ","136,557",6.95,"280,959",12.02,"722,412",10.94,"56,744",13.48,"211,695",11.55,"76,862",10.34,"179,396",12.59,"3,265",-8.4,"118,226",-8.4,"128,703",-8.4
9781119238720,"$3.00 ","3,420,940",-7.78,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781119392200,"$5.50 ","2,005,899",-5.55,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781285428765,"$2.50 ","460,529",-7.39,"628,298",-7.69,"2,190,303",60.91,-1,74.15,-1,82.88,-1,70.06,-1,73.42,-1,4716.82,-1,-8.79,-1,250.41
9781284136562,"$2.00 ","333,653",119.34,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284162776,"$3.00 ","67,500",53.86,0,-1.8,0,-1.8,-1,44.05,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284131062,"$3.50 ","13,868",61.48,"1,720,227",91.15,"2,046,375",43.97,-1,63.55,-1,56.86,-1,63.1,-1,63.1,-1,1352.76,-1,-8.79,-1,83.5
9781284107029,"$3.50 ","139,612",235.21,-1,-9.25,-1,204.66,-1,250.6,-1,238.06,-1,255.52,-1,243.29,-1,-10.35,-1,-10.35,-1,318.54
9781284106909,"$3.50 ","174,386",166.95,"1,374,527",233.61,-1,141.27,"149,900",146.13,-1,174.03,-1,156.07,-1,186.97,-1,3659.96,-1,-10.35,-1,230.2
9781284110524,"$2.00 ","264,641",285.19,-1,-3.82,-1,222.27,-1,347.67,-1,342.66,-1,350.92,-1,337.82,-1,5522.44,-1,-3.82,-1,428.21
9781284116588,"$0.50 ","635,884",410.06,-1,544.25,-1,318.17,0,-1.8,-1,377.41,0,-1.8,-1,368.35,0,-1.8,0,-1.8,-1,480.44
9781284116564,"$1.50 ","1,717,197",249.77,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284080179,"$0.50 ","3,099",81.13,"32,201",121.11,"1,731,648",83.15,-1,97.36,-1,98.32,-1,92.18,-1,-10.35,"228,694",1768.09,"895,135",-10.35,-1,125.75
9781284123241,"$3.25 ","832,070",160.1,-1,209.4,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781449693008,"$2.00 ","284,919",89.96,"466,021",128.58,"1,005,101",20.96,-1,53.08,"961,995",82.8,"1,188,713",91.92,"1,432,664",90.46,-1,2006.32,-1,-8.79,"1,288,170",-8.79
9781284107272,"$3.25 ","62,521",108.26,"1,463,331",150.13,"833,782",112.23,-1,103.06,-1,127.4,-1,119.49,-1,111.21,-1,2546.18,0,-1.8,-1,154.06
9781284134186,"$2.75 ","60,394",84.73,-1,-2.71,"4,200,995",-2.71,0,-1.8,"159,265",97.39,0,-1.8,-1,-2.71,0,-1.8,0,-1.8,-1,122.8
9781284116809,"$1.50 ","110,294",69.66,-1,88.64,-1,48.44,0,-1.8,-1,58.06,0,-1.8,-1,63.55,0,-1.8,0,-1.8,-1,71.34
9781284105315,"$3.00 ","25,879",48.31,"749,421",-7.69,"3,479,560",19.8,"1,144,326",44.76,"1,174,108",45.2,0,-6.94,-1,43.26,-1,932.94,0,-6.94,-1,60.66
9781284137279,"$0.85 ","187,195",516.21,-1,739.97,"46,927",138.69,-1,513.6,-1,606.28,-1,539.45,-1,455.03,-1,-12.3,0,-6.94,-1,680.8
9781284457025,"$2.00 ","737,668",378.04,-1,541.29,-1,337.72,-1,416.14,-1,392,-1,476.27,-1,404.13,-1,-12.69,-1,-12.69,0,-6.94
9781284142259,"$3.25 ","505,307",129.8,-1,172.3,-1,99.63,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781284104882,"$1.75 ","276,887",268.08,"702,231",328.86,-1,214.87,"500,823",259.15,-1,255.9,-1,296.28,-1,251.73,-1,-5.63,"342,025",-5.63,-1,343.07
9781284138610,"$2.25 ",-1,-4.17,"80,484",333.25,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9781610020244,"$3.00 ","2,791",39.91,"1,128",62.81,"660,947",40.48,"328,137",44.79,"156,352",45.12,"74,037",43.67,-1,42.36,"138,581",336.01,"188,783",-8.79,"85,246",60.32
9781626883277,"$1.50 ","88,062",79.34,-1,-9.25,-1,-10.35,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,-1,-10.35
9781457610240,"$1.50 ","83,067",23.69,"814,232",-7.3,"2,200,815",14.21,0,-6.94,-1,32.5,0,-6.94,"676,207",31.25,-1,197.56,0,-6.94,"33,269",-8.4
9781457632976,"$2.50 ","177,917",-7,"1,131,806",-7.3,-1,-8.4,-1,-8.4,-1,-8.4,-1,-8.4,-1,-8.4,-1,-8.4,-1,-8.4,-1,-8.4
9781319126780,"$3.00 ","884,092",39.49,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780134586342,"$0.50 ","38,869",47.09,-1,89.05,-1,60.91,-1,76,-1,72.79,-1,73.64,-1,73.64,-1,-8.4,-1,-8.4,"635,417",96.87
9781323040966,"$2.25 ","7,765,887",-1.77,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9780134679433,"$2.50 ","316,169",35.43,-1,62.82,-1,39.9,-1,50.23,-1,48.67,-1,48.59,-1,48.59,-1,-8.4,-1,-8.4,-1,66.92
9780134678733,"$8.50 ","194,213",49.36,-1,-7.3,"1,022,332",35.72,-1,43.52,-1,44.77,-1,44.01,-1,44.35,-1,-8.4,-1,-8.4,-1,60.51
9780134668499,"$5.00 ","146,086",81,-1,106.7,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8,0,-1.8
9780134515212,"$3.00 ","197,094",-5.55,-1,41.25,-1,-6.95,0,-6.94,-1,28.06,0,-6.94,-1,27.56,0,-6.94,0,-6.94,"396,236",36.3
9780374533939,"$4.25 ","143,832",10.36,"145,529",12.06,"1,420,330",-2.4,"364,731",9.5,"738,183",9.18,"926,763",9.17,"498,911",9.17,0,-1.8,"579,732",-2.4,"712,614",-2.4
9781305961548,"$1.50 ","187,485",-7.39,-1,-7.69,-1,96.62,-1,161.21,-1,168.87,-1,142.45,-1,156.45,0,-6.94,-1,-8.79,-1,224.82
9780134548616,"$5.00 ","510,078",98.88,"1,569,754",-7.3,-1,80.85,0,-6.94,-1,100.39,0,-6.94,-1,80.43,0,-6.94,0,-6.94,-1,132.65
9781596431010,"$3.50 ","368,832",3.07,"333,282",9.77,"855,157",2.65,0,-6.94,"1,818,788",4.58,"1,138,776",4.41,"906,126",4.83,"275,570",196.51,0,-6.94,"32,214",11.93
9781632060433,"$3.00 ","618,172",-0.06,0,-5.84,"1,062,845",-0.21,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780143124955,"$1.75 ","552,619",3.69,"404,124",2.79,"901,952",-1.95,"318,094",4.49,"1,550,316",-0.6,"183,176",-0.83,"1,185,002",-0.85,0,-6.94,"433,641",-7.41,"670,050",7.41
9780323390828,"$3.50 ","29,627",34.99,"63,389",-7.3,"465,104",29.85,"73,286",29,"105,295",40.03,"87,019",36.09,"151,733",38.36,"123,776",686.78,"380,271",-8.4,"54,632",46.9
9780866125086,"$3.00 ","1,151,155",87.74,-1,-7.3,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780962071072,"$3.00 ","1,695,236",-7.39,0,-5.84,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9780345326492,"$2.75 ","3,390,376",-2.4,"78,318",6.21,"333,250",-2.91,"53,365",3.47,"25,022",3.26,"6,270",2.09,"26,128",3.29,"73,759",125.52,"174,845",-2.91,"34,181",5.24
9780671695880,"$2.75 ","3,000",3.02,"48,280",2.95,"5,553,333",-7.41,"166,566",0.68,"244,531",4.93,"766,345",2.6,"516,789",3.74,-1,171.56,"906,562",-7.41,"351,930",-7.41
9780866124447,"$3.75 ","1,164,081",66.83,-1,-7.69,"4,175,568",-8.79,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,-1,-8.79,0,-6.94
9780061129766,"$3.00 ","15,773,889",-5.55,"6,292",8.2,"1,884,272",-7.41,"32,964",2.79,"50,285",2.89,"186,279",2.59,"211,413",6.77,0,-6.94,-1,-7.41,"462,255",8.62
9780521715157,"$2.75 ","370,536",13.88,"142,468",21.57,"64,071",9.2,"216,369",4.15,"143,090",13.46,"102,670",13.18,"215,596",13.98,"135,045",430.1,"39,375",-8.4,"5,614",22.06
9781607322269,"$1.50 ","351,746",17.19,-1,21.65,"5,684,930",9.91,0,-6.94,"2,132,369",14.26,0,-6.94,-1,13.52,0,-6.94,0,-6.94,-1,21.34
9781493927111,"$2.25 ","52,019",33.8,"110,468",43.22,"54,326",20.75,"115,877",23.05,"128,180",25.52,"130,944",30.61,"54,345",31.38,"39,284",801.15,"243,424",-8.4,"81,682",45.07
9781457650659,"$1.75 ","68,949",-7,-1,-7.3,-1,34.71,0,-6.94,-1,39.45,0,-6.94,-1,42.69,0,-6.94,0,-6.94,"706,091",-8.4
9781319054717,"$1.75 ","432,566",37.76,-1,59.99,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94,0,-6.94
9781457699931,"$2.25 ","143,652",-7.39,"1,905,334",-7.69,-1,-8.79,-1,-8.79,-1,-8.79,-1,-8.79,-1,-8.79,0,-6.94,-1,-8.79,-1,-8.79
9781319088125,"$0.50 ","26,319",53.86,-1,81.14,-1,48.08,-1,71.42,-1,74.01,0,-6.94,-1,69.15,0,-6.94,0,-6.94,-1,80.82
9780323263481,"$1.50 ","479,141",53.83,"441,950",94.09,"5,692,660",29.87,"1,282,976",51.79,-1,62.67,-1,56.45,-1,55.95,0,-6.94,-1,-9.96,"877,187",74.7
9781305497450,"$2.50 ","547,641",-7.78,"649,299",120.24,0,-6.94,-1,114.92,"1,371,050",114.4,0,-6.94,-1,111.45,0,-6.94,"824,972",-9.18,"573,594",131.54
9781305497481,"$3.25 ","1,884,038",-7,"532,672",36.65,"6,112,756",21.35,0,-6.94,"1,371,049",36.51,0,-6.94,"751,357",34.76,-1,-8.4,0,-6.94,"573,907",50.32
9780073535807,"$0.35 ","287,162",49.26,"685,006",68.78,"9,320,814",48.67,-1,62.61,-1,62.58,0,-6.94,-1,60.61,0,-6.94,-1,-8.79,-1,87.87
9780375714719,"$2.00 ","533,241",12.2692475,"529,531",9.8382475,"1,311,036",8.9627475,"399,524",12.5072475,0,-1.8,"344,641",2.6982475,"345,252",12.0737475,"133,406",-2.7927525,0,-1.8,"697,198",17.4457475
9780134167398,"$3.00 ","70,106",194.89,"4,739,873",266.56,"4,498,877",-9.18,-1,205.58,"1,391,877",210.26,-1,207.13,-1,-9.18,"129,462",-9.18,-1,-9.18,"261,376",257.47
9780134467221,"$1.75 ","1,596,628",213.57,-1,291.1,-1,-9.18,-1,-9.18,-1,-9.18,0,-6.94,-1,-9.18,0,-6.94,-1,-9.18,-1,-9.18
9780385348430,"$0.50 ","38,766",3.41,"4,828",12.91,"102,456",3.2,"19,424",5.2,"53,726",4.35,"112,537",2.91,"28,532",5.22,"51,624",197.91,"191,689",-8.4,"196,756",9.53
9780070000506,"$3.50 ","794,753",-2.9108628,"200,518",-2.9108628,"5,290,321",33.6391372,"1,957,050",-2.9108628,-1,-2.9108628,-1,-2.9108628,-1,-2.9108628,-1,-2.9108628,-1,-2.9108628,"3,045,094",-2.9108628
9780872208759,"$4.00 ","377,709",5.39,"655,497",10.58,"1,980,143",4.79,"1,018,768",5.81,"2,013,134",1.66,-1,6.07,"1,252,338",6.07,-1,-8.4,-1,-8.4,"277,242",8.32
